path_id	pc	variance_explained	sd	cum_var
hsa02010	PC1	9.61898120333622	1.2011857393844	9.61898120333622
hsa02010	PC2	8.35807803260863	1.11969268323558	17.9770592359449
hsa02010	PC3	7.80519212785638	1.08202533204101	25.7822513638012
hsa02010	PC4	7.5188170387839	1.06198990382093	33.3010684025851
hsa02010	PC5	7.25836339547383	1.0434339985457	40.559431798059
hsa02010	PC6	6.87140084432239	1.01523895051774	47.4308326423814
hsa02010	PC7	6.51788250758425	0.988778223939848	53.9487151499656
hsa02010	PC8	6.4814816057858	0.98601330663834	60.4301967557514
hsa02010	PC9	6.24635342032421	0.967963332491802	66.6765501760756
hsa02010	PC10	6.13481759671174	0.959282356507595	72.8113677727873
hsa04933	PC1	6.4391534360036	1.58469865906468	6.4391534360036
hsa04933	PC2	3.88499234415725	1.23091308150548	10.3241457801608
hsa04933	PC3	3.54762250296616	1.17625370399281	13.871768283127
hsa04933	PC4	3.44348360228385	1.15886090834522	17.3152518854109
hsa04933	PC5	3.2703204061131	1.12934713812189	20.585572291524
hsa04933	PC6	3.20947666721205	1.11879216131179	23.795048958736
hsa04933	PC7	3.17100611335436	1.11206671751663	26.9660550720904
hsa04933	PC8	3.06317031069704	1.09299424571763	30.0292253827874
hsa04933	PC9	2.98461457904198	1.07888817114026	33.0138399618294
hsa04933	PC10	2.95646041319497	1.07378748416343	35.9703003750244
hsa04152	PC1	5.15729284943638	1.30457143932941	5.15729284943638
hsa04152	PC2	4.17611532322729	1.17393273089433	9.33340817266368
hsa04152	PC3	4.12667480181576	1.1669630176656	13.4600829744794
hsa04152	PC4	3.99732840537716	1.14852878665468	17.4574113798566
hsa04152	PC5	3.88412943607705	1.13214959873041	21.3415408159336
hsa04152	PC6	3.76465481064071	1.11460131325575	25.1061956265744
hsa04152	PC7	3.69220141946287	1.1038235676152	28.7983970460372
hsa04152	PC8	3.59041119579336	1.08850158227345	32.3888082418306
hsa04152	PC9	3.43336947485555	1.06443032966105	35.8221777166861
hsa04152	PC10	3.40079850497753	1.0593693910259	39.2229762216637
hsa03082	PC1	8.17734772241029	1.21322816899125	8.17734772241029
hsa03082	PC2	7.31567556329703	1.1475284751994	15.4930232857073
hsa03082	PC3	6.44746201878015	1.07728508918504	21.9404853044875
hsa03082	PC4	6.2945272776682	1.06443173100969	28.2350125821557
hsa03082	PC5	6.18007317622696	1.05470999413149	34.4150857583826
hsa03082	PC6	6.07616819781542	1.04580604110264	40.4912539561981
hsa03082	PC7	5.89515364703102	1.03011050691932	46.3864076032291
